season_code,event_code,item_code,pr_level,order_qty,event_amt,event_pmt,price_type,class_name,new_tickets,alumni_tickets,class_category,unit_price,pricing_tier,seat_value_index,sport_type,season_year,is_revenue_generating,is_season_ticket,is_comp,is_transfer
BB24,MB01,MB01,Bleachers,3.0,33.0,33.0,Day of Student Guest,Single Game - Day of Game,0,0,Day of Game,11.0,3,0.8,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Club,1.0,14.0,14.0,Transfer Full Price - Grogan,Transfer,0,0,Other,14.0,3,1.5,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Courtside,9.0,63.0,63.0,Transfer UT Pkg - Grogan,Transfer,0,0,Other,7.0,3,1.5,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Loge,10.0,70.0,70.0,Transfer UT Pkg - Grogan,Transfer,0,0,Other,7.0,3,1.3,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Blue,8.0,392.0,392.0,Day of Full Price,Single Game - Day of Game,0,0,Day of Game,49.0,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Blue,1.0,24.5,24.5,Day of Youth,Single Game - Day of Game,0,0,Day of Game,24.5,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Blue,13.0,611.0,611.0,Full Price,Single Game - Standard,0,0,Standard,47.0,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Blue,2.0,16.16,16.16,Transfer F/S - Grogan,Transfer,0,0,Other,8.08,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Blue,3.0,42.0,42.0,Transfer Full Price,Transfer,0,0,Other,14.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Blue,8.0,112.0,112.0,Transfer Full Price - Grogan,Transfer,0,0,Other,14.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Blue,4.0,28.0,28.0,Transfer UT Pkg - Grogan,Transfer,0,0,Other,7.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Gold,3.0,111.0,111.0,Day of Full Price,Single Game - Day of Game,0,0,Day of Game,37.0,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Gold,4.0,56.0,56.0,Transfer Full Price - Grogan,Transfer,0,0,Other,14.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Gold,1.0,17.5,17.5,Youth (12 & Under),Single Game - Standard,0,0,Standard,17.5,3,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Purple,15.0,375.0,375.0,Day of Full Price,Single Game - Day of Game,0,0,Day of Game,25.0,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Purple,5.0,62.5,62.5,Day of Youth,Single Game - Day of Game,0,0,Day of Game,12.5,3,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Purple,2.0,23.0,23.0,F/S (Limit 2),Single Game - F/S,0,0,F/S,11.5,3,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Purple,19.0,437.0,437.0,Full Price,Single Game - Standard,0,0,Standard,23.0,2,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Premium Purple,1.0,12.0,12.0,Transfer Full Price - Grogan,Transfer,0,0,Other,12.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Purple,1.0,6.0,6.0,Transfer UT Pkg - Grogan,Transfer,0,0,Other,6.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Premium Purple,2.0,23.0,23.0,Youth (12 & Under),Single Game - Standard,0,0,Standard,11.5,3,1.0,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Suite,27.0,189.0,189.0,Transfer UT Pkg - Grogan,Transfer,0,0,Other,7.0,3,1.0,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Upper A,31.0,589.0,589.0,Day of Full Price,Single Game - Day of Game,0,0,Day of Game,19.0,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper A,2.0,19.0,19.0,Day of Youth,Single Game - Day of Game,0,0,Day of Game,9.5,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper A,2.0,17.0,17.0,F/S (Limit 2),Single Game - F/S,0,0,F/S,8.5,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper A,4.0,68.0,68.0,Full Price,Single Game - Standard,0,0,Standard,17.0,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper A,1.0,12.0,12.0,Transfer Full Price,Transfer,0,0,Other,12.0,3,0.9,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Upper B,21.0,273.0,273.0,Day of Full Price,Single Game - Day of Game,0,0,Day of Game,13.0,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper B,4.0,26.0,26.0,Day of Youth,Single Game - Day of Game,0,0,Day of Game,6.5,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper B,1.0,5.5,5.5,F/S (Limit 2),Single Game - F/S,0,0,F/S,5.5,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper B,4.0,44.0,44.0,Full Price,Single Game - Standard,0,0,Standard,11.0,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MB01,Upper B,1.0,2.67,2.67,Transfer F/S,Transfer,0,0,Other,2.67,3,0.9,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Upper B,3.0,15.99,15.99,Transfer Full Price,Transfer,0,0,Other,5.33,3,0.9,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Upper B,1.0,5.33,5.33,Transfer Full Price - Grogan,Transfer,0,0,Other,5.33,3,0.9,BASKETBALL,2024,1,0,0,1
BB24,MB01,MB01,Upper B,2.0,11.0,11.0,Youth (12 & Under),Single Game - Standard,0,0,Standard,5.5,3,0.9,BASKETBALL,2024,1,0,0,0
BB24,MB01,MBS,Club,6.0,42.0,42.0,Season F/S - NEW - Grogan,New Season Tickets - F/S,1,0,F/S,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Club,54.0,756.0,756.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,14.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Club,11.0,154.0,154.0,Season Full Price - NEW - Grogan,New Season Tickets - Standard,1,0,Standard,14.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Club,46.0,322.0,322.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Club,4.0,28.0,28.0,Season UT Pkg - NEW - Grogan,New Season Tickets - Package/Trade,1,0,Package/Trade,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Club,2.0,14.0,14.0,Season UT Pkg F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Courtside,16.0,224.0,224.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,14.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Courtside,19.0,133.0,133.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Courtside,2.0,14.0,14.0,Season UT Pkg - NEW - Grogan,New Season Tickets - Package/Trade,1,0,Package/Trade,7.0,3,1.5,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Loge,72.0,504.0,504.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.3,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Loge,8.0,56.0,56.0,Season UT Pkg - NEW - Grogan,New Season Tickets - Package/Trade,1,0,Package/Trade,7.0,3,1.3,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Loge,4.0,28.0,28.0,Season UT Pkg F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.3,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,2.0,14.0,14.0,Season F/S,Season Tickets - F/S,0,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,30.0,210.0,210.0,Season F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,4.0,28.0,28.0,Season F/S - NEW - Grogan,New Season Tickets - F/S,1,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,259.0,3626.0,3626.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,14.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,21.0,294.0,294.0,Season Full Price - NEW - Grogan,New Season Tickets - Standard,1,0,Standard,14.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,16.0,74.72,74.72,Season RSP 1/3,Season Tickets - Package/Trade,0,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,28.0,130.76,130.76,Season RSP 1/3 - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,15.0,70.05,70.05,Season RSP 1/3 - NEW,New Season Tickets - Package/Trade,1,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,121.0,847.0,847.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,6.0,42.0,42.0,Season UT Pkg - NEW - Grogan,New Season Tickets - Package/Trade,1,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,6.0,42.0,42.0,Season UT Pkg F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Blue,4.0,28.0,28.0,Season Youth - Grogan,Season Tickets - Standard,0,0,Standard,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,14.0,98.0,98.0,Season F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,4.0,28.0,28.0,Season F/S - NEW - Grogan,New Season Tickets - F/S,1,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,43.0,602.0,602.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,14.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,19.0,266.0,266.0,Season Full Price - NEW - Grogan,New Season Tickets - Standard,1,0,Standard,14.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,4.0,18.68,18.68,Season RSP 1/3,Season Tickets - Package/Trade,0,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,84.0,392.28,392.28,Season RSP 1/3 - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,3.0,14.01,14.01,Season RSP 1/3 - NEW,New Season Tickets - Package/Trade,1,0,Package/Trade,4.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,2.0,14.0,14.0,Season UT Pkg,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,13.0,91.0,91.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,2.0,14.0,14.0,Season UT Pkg F/S - Grogan,Season Tickets - F/S,0,0,F/S,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Gold,2.0,14.0,14.0,Season Youth - Grogan,Season Tickets - Standard,0,0,Standard,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,17.0,90.61,90.61,Season ADA Lower,Season Tickets - Standard,0,0,Standard,5.33,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,2.0,10.66,10.66,Season ADA Lower - Grogan,Season Tickets - Standard,0,0,Standard,5.33,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,2.0,5.34,5.34,Season ADA Lower F/S,Season Tickets - Standard,0,0,Standard,2.67,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,56.0,336.0,336.0,Season F/S,Season Tickets - F/S,0,0,F/S,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,30.0,180.0,180.0,Season F/S - Grogan,Season Tickets - F/S,0,0,F/S,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,13.0,78.0,78.0,Season F/S - NEW,New Season Tickets - F/S,1,0,F/S,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,2.0,12.0,12.0,Season F/S - NEW - Grogan,New Season Tickets - F/S,1,0,F/S,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,78.0,936.0,936.0,Season Full Price,Season Tickets - Standard,0,0,Standard,12.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,57.0,684.0,684.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,12.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,25.0,300.0,300.0,Season Full Price - NEW,New Season Tickets - Standard,1,0,Standard,12.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,6.0,72.0,72.0,Season Full Price - NEW - Grogan,New Season Tickets - Standard,1,0,Standard,12.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,3.0,12.0,12.0,Season RSP 1/3 - NEW,New Season Tickets - Package/Trade,1,0,Package/Trade,4.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,1.0,6.0,6.0,Season UT Pkg,Season Tickets - Package/Trade,0,0,Package/Trade,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,7.0,42.0,42.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,74.0,370.0,370.0,Season Varsity T,Season Tickets - Standard,0,0,Standard,5.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,43.0,215.0,215.0,Season Varsity T - Grogan,Season Tickets - Standard,0,0,Standard,5.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,5.0,25.0,25.0,Season Varsity T - NEW,New Season Tickets - Standard,1,0,Standard,5.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,1.0,5.0,5.0,Season Varsity T - NEW - Grogan,New Season Tickets - Standard,1,0,Standard,5.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,5.0,30.0,18.0,Season Youth,Season Tickets - Standard,0,0,Standard,3.6,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Premium Purple,1.0,6.0,6.0,Season Youth - NEW,New Season Tickets - Standard,1,0,Standard,6.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Suite,4.0,56.0,56.0,Season Full Price - Grogan,Season Tickets - Standard,0,0,Standard,14.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Suite,171.0,1197.0,1197.0,Season UT Pkg - Grogan,Season Tickets - Package/Trade,0,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Suite,27.0,189.0,189.0,Season UT Pkg - NEW - Grogan,New Season Tickets - Package/Trade,1,0,Package/Trade,7.0,3,1.0,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Upper A,10.0,60.0,60.0,Season F/S,Season Tickets - F/S,0,0,F/S,6.0,3,0.9,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Upper A,2.0,12.0,12.0,Season F/S - Grogan,Season Tickets - F/S,0,0,F/S,6.0,3,0.9,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Upper A,24.0,288.0,288.0,Season Full Price,Season Tickets - Standard,0,0,Standard,12.0,3,0.9,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Upper A,4.0,48.0,48.0,Season Full Price - NEW,New Season Tickets - Standard,1,0,Standard,12.0,3,0.9,BASKETBALL,2024,1,1,0,0
BB24,MB01,MBS,Upper A,122.0,488.0,488.0,Season RSP 1/3,Season Tickets - Package/Trade,0,0,Package/Trade,4.0,3,0.9,BASKETBALL,2024,1,1,0,0
