"Season Code","Event Code","Item Code","Pr Level Full Name","Order Qty (Total)","Event Amt (Total)","Event Pmt (Total)","Price Type Full Name","Class Full Name"
"BB24","BBPK","BBPK","Area A","615","0.00","0.00","Parking","Parking"
"BB24","BBPK","BBPK","Area A","142","0.00","0.00","Staff Parking","Parking"
"BB24","BBPK","BBPK","Area B","218","0.00","0.00","Parking","Parking"
"BB24","BBPK","BBPK","Area B","43","0.00","0.00","Staff Parking","Parking"
"BB24","BBPK","BBPK","Area PC/SD","207","0.00","0.00","Parking","Parking"
"BB24","BBPK","BBPK","Area SHR","47","0.00","0.00","Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area A","1","0.00","0.00","Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area A","1","0.00","0.00","Staff Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area B","0","0.00","0.00","Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area B","1","0.00","0.00","Staff Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area PC/SD","0","0.00","0.00","Parking","Parking"
"BB24","BBPKFS1","BBPKFS1","Area SHR","0","0.00","0.00","Parking","Parking"
"BB24","MB01","MB01","Bleachers","411","0.00","0.00","Access Pass","Single Game - Standard"
"BB24","MB01","MB01","Bleachers","29","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Bleachers","3","33.00","33.00","Day of Student Guest","Single Game - Day of Game"
"BB24","MB01","MB01","Club","0","0.00","0.00","Comp - Grogan","Single Game - Standard"
"BB24","MB01","MB01","Club","1","14.00","14.00","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Courtside","3","0.00","0.00","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Courtside","9","63.00","63.00","Transfer UT Pkg - Grogan","Transfer"
"BB24","MB01","MB01","Loge","1","0.00","0.00","Transfer Comp - Grogan","Transfer"
"BB24","MB01","MB01","Loge","10","70.00","70.00","Transfer UT Pkg - Grogan","Transfer"
"BB24","MB01","MB01","Loge","12","0.00","0.00","Transfer UT Pkg F/S -  Grogan","Transfer"
"BB24","MB01","MB01","Premium Blue","28","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Premium Blue","2","0.00","0.00","Comp - Grogan","Single Game - Standard"
"BB24","MB01","MB01","Premium Blue","8","392.00","392.00","Day of Full Price","Single Game - Day of Game"
"BB24","MB01","MB01","Premium Blue","1","24.50","24.50","Day of Youth","Single Game - Day of Game"
"BB24","MB01","MB01","Premium Blue","0","0.00","0.00","Event Dynamic","Miscellaneous"
"BB24","MB01","MB01","Premium Blue","13","611.00","611.00","Full Price","Single Game - Standard"
"BB24","MB01","MB01","Premium Blue","6","0.00","0.00","Transfer Comp - Grogan","Transfer"
"BB24","MB01","MB01","Premium Blue","2","0.00","0.00","Transfer Event Dynamic","Transfer"
"BB24","MB01","MB01","Premium Blue","2","16.16","16.16","Transfer F/S - Grogan","Transfer"
"BB24","MB01","MB01","Premium Blue","3","42.00","42.00","Transfer Full Price","Transfer"
"BB24","MB01","MB01","Premium Blue","8","112.00","112.00","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Premium Blue","22","0.00","0.00","Transfer Player/Parent Comp","Transfer"
"BB24","MB01","MB01","Premium Blue","5","0.00","0.00","Transfer RSP 1/3","Transfer"
"BB24","MB01","MB01","Premium Blue","4","28.00","28.00","Transfer UT Pkg - Grogan","Transfer"
"BB24","MB01","MB01","Premium Blue","9","0.00","0.00","Vet Tix","Single Game - Standard"
"BB24","MB01","MB01","Premium Gold","5","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Premium Gold","3","111.00","111.00","Day of Full Price","Single Game - Day of Game"
"BB24","MB01","MB01","Premium Gold","6","0.00","0.00","Transfer Comp - Grogan","Transfer"
"BB24","MB01","MB01","Premium Gold","4","56.00","56.00","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Premium Gold","4","0.00","0.00","Transfer Player/Parent Comp","Transfer"
"BB24","MB01","MB01","Premium Gold","1","0.00","0.00","Transfer RSP 1/3","Transfer"
"BB24","MB01","MB01","Premium Gold","1","17.50","17.50","Youth (12 & Under)","Single Game - Standard"
"BB24","MB01","MB01","Premium Purple","62","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Premium Purple","15","375.00","375.00","Day of Full Price","Single Game - Day of Game"
"BB24","MB01","MB01","Premium Purple","5","62.50","62.50","Day of Youth","Single Game - Day of Game"
"BB24","MB01","MB01","Premium Purple","2","23.00","23.00","F/S (Limit 2)","Single Game - F/S"
"BB24","MB01","MB01","Premium Purple","19","437.00","437.00","Full Price","Single Game - Standard"
"BB24","MB01","MB01","Premium Purple","2","0.00","0.00","Rocket 10 Pack Lower","Single Game - Promo/Comp Non Sales Leads"
"BB24","MB01","MB01","Premium Purple","5","0.00","0.00","Rocket 10 Pack Lower - Grogan","Single Game - Promo/Comp Non Sales Leads"
"BB24","MB01","MB01","Premium Purple","8","0.00","0.00","Transfer Event Dynamic","Transfer"
"BB24","MB01","MB01","Premium Purple","2","0.00","0.00","Transfer F/S","Transfer"
"BB24","MB01","MB01","Premium Purple","1","12.00","12.00","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Premium Purple","1","0.00","0.00","Transfer RSP 1/3","Transfer"
"BB24","MB01","MB01","Premium Purple","1","6.00","6.00","Transfer UT Pkg - Grogan","Transfer"
"BB24","MB01","MB01","Premium Purple","2","0.00","0.00","Transfer Varsity T","Transfer"
"BB24","MB01","MB01","Premium Purple","18","0.00","0.00","Vet Tix","Single Game - Standard"
"BB24","MB01","MB01","Premium Purple","2","23.00","23.00","Youth (12 & Under)","Single Game - Standard"
"BB24","MB01","MB01","Suite","0","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Suite","27","189.00","189.00","Transfer UT Pkg - Grogan","Transfer"
"BB24","MB01","MB01","Upper A","31","589.00","589.00","Day of Full Price","Single Game - Day of Game"
"BB24","MB01","MB01","Upper A","2","19.00","19.00","Day of Youth","Single Game - Day of Game"
"BB24","MB01","MB01","Upper A","2","17.00","17.00","F/S (Limit 2)","Single Game - F/S"
"BB24","MB01","MB01","Upper A","4","68.00","68.00","Full Price","Single Game - Standard"
"BB24","MB01","MB01","Upper A","8","0.00","0.00","Rocket 10 Pack Upper","Single Game - Promo/Comp Non Sales Leads"
"BB24","MB01","MB01","Upper A","1","12.00","12.00","Transfer Full Price","Transfer"
"BB24","MB01","MB01","Upper B","2","0.00","0.00","Comp","Single Game - Standard"
"BB24","MB01","MB01","Upper B","21","273.00","273.00","Day of Full Price","Single Game - Day of Game"
"BB24","MB01","MB01","Upper B","4","26.00","26.00","Day of Youth","Single Game - Day of Game"
"BB24","MB01","MB01","Upper B","1","5.50","5.50","F/S (Limit 2)","Single Game - F/S"
"BB24","MB01","MB01","Upper B","4","44.00","44.00","Full Price","Single Game - Standard"
"BB24","MB01","MB01","Upper B","1","2.67","2.67","Transfer F/S","Transfer"
"BB24","MB01","MB01","Upper B","3","15.99","15.99","Transfer Full Price","Transfer"
"BB24","MB01","MB01","Upper B","1","5.33","5.33","Transfer Full Price - Grogan","Transfer"
"BB24","MB01","MB01","Upper B","2","11.00","11.00","Youth (12 & Under)","Single Game - Standard"
"BB24","MB01","MBS","Bleachers","0","0.00","0.00","Season Recent Alumni - 1 Sport","Season Tickets - Standard"
"BB24","MB01","MBS","Club","2","0.00","0.00","Season Comp","Season Tickets - Comp"
"BB24","MB01","MBS","Club","4","0.00","0.00","Season Comp - Grogan","Season Tickets - Comp"
"BB24","MB01","MBS","Club","0","0.00","0.00","Season Comp - NEW - Grogan","New Season Tickets - Comp"
"BB24","MB01","MBS","Club","6","42.00","42.00","Season F/S - NEW - Grogan","New Season Tickets - F/S"
"BB24","MB01","MBS","Club","54","756.00","756.00","Season Full Price - Grogan","Season Tickets - Standard"
"BB24","MB01","MBS","Club","0","0.00","0.00","Season Full Price - NEW","New Season Tickets - Standard"
"BB24","MB01","MBS","Club","11","154.00","154.00","Season Full Price - NEW - Grogan","New Season Tickets - Standard"
"BB24","MB01","MBS","Club","46","322.00","322.00","Season UT Pkg - Grogan","Season Tickets - Package/Trade"
"BB24","MB01","MBS","Club","4","28.00","28.00","Season UT Pkg - NEW - Grogan","New Season Tickets - Package/Trade"
"BB24","MB01","MBS","Club","2","14.00","14.00","Season UT Pkg F/S - Grogan","Season Tickets - F/S"
"BB24","MB01","MBS","Club","12","0.00","0.00","Season UT Trade - Grogan","Season Tickets - Package/Trade"
"BB24","MB01","MBS","Courtside","0","0.00","0.00","Season Comp - Grogan","Season Tickets - Comp"
"BB24","MB01","MBS","Courtside","16","224.00","224.00","Season Full Price - Grogan","Season Tickets - Standard"
"BB24","MB01","MBS","Courtside","0","0.00","0.00","Season Full Price - NEW - Grogan","New Season Tickets - Standard"
"BB24","MB01","MBS","Courtside","19","133.00","133.00","Season UT Pkg - Grogan","Season Tickets - Package/Trade"
"BB24","MB01","MBS","Courtside","2","14.00","14.00","Season UT Pkg - NEW - Grogan","New Season Tickets - Package/Trade"
"BB24","MB01","MBS","Loge","1","0.00","0.00","Season Comp","Season Tickets - Comp"
"BB24","MB01","MBS","Loge","16","0.00","0.00","Season Comp - Grogan","Season Tickets - Comp"
